title,author,avg_rating,rating_count,num_pages,genres,pub_year,url,log_rating_count,log_num_pages,log_pub_age,genres_txt
Me Before You,Jojo Moyes,4.26,1744990,369.0,"Fiction, Contemporary, Book Club",2012.0,https://www.goodreads.com/book/show/17347634-me-before-you,14.372259956012241,5.91350300563827,2.6390573296152584,Fiction  Contemporary  Book Club
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.89,1742811,260.0,"Horror, Fiction, Science Fiction",1818.0,https://www.goodreads.com/book/show/35031085-frankenstein,14.371010458673375,5.564520407322694,5.337538079701318,Horror  Fiction  Science Fiction
The Picture of Dorian Gray,Oscar Wilde,4.13,1742668,272.0,"Classics, Fiction, Horror",1890.0,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,14.37092840400139,5.60947179518496,4.912654885736052,Classics  Fiction  Horror
Educated,Tara Westover,4.47,1733793,352.0,"Nonfiction, Memoir, Book Club",2018.0,https://www.goodreads.com/book/show/35133922-educated,14.36582262880393,5.8664680569332965,2.0794415416798357,Nonfiction  Memoir  Book Club
Daisy Jones & The Six,Taylor Jenkins Reid,4.2,1729381,368.0,"Fiction, Historical Fiction, Audiobook",2019.0,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six,14.36327467722023,5.910796644040527,1.9459101490553132,Fiction  Historical Fiction  Audiobook
Life of Pi,Yann Martel,3.94,1708929,460.0,"Fiction, Fantasy, Classics",2001.0,https://www.goodreads.com/book/show/4214.Life_of_Pi,14.351378001633348,6.133398042996649,3.2188758248682006,Fiction  Fantasy  Classics
Looking for Alaska,John Green,3.96,1699704,221.0,"Young Adult, Fiction, Contemporary",2005.0,https://www.goodreads.com/book/show/99561.Looking_for_Alaska,14.345965264556709,5.402677381872279,3.044522437723423,Young Adult  Fiction  Contemporary
Normal People,Sally Rooney,3.81,1696998,273.0,"Fiction, Romance, Contemporary",2018.0,https://www.goodreads.com/book/show/41057294-normal-people,14.344371954940998,5.6131281063880705,2.0794415416798357,Fiction  Romance  Contemporary
The Selection,Kiera Cass,4.07,1691421,336.0,"Romance, Young Adult, Dystopia",2012.0,https://www.goodreads.com/book/show/10507293-the-selection,14.341080153222139,5.820082930352362,2.6390573296152584,Romance  Young Adult  Dystopia
Water for Elephants,Sara Gruen,4.11,1671374,368.0,"Fiction, Historical Fiction, Romance",2006.0,https://www.goodreads.com/book/show/43641.Water_for_Elephants,14.329157198916967,5.910796644040527,2.995732273553991,Fiction  Historical Fiction  Romance
A Thousand Splendid Suns,Khaled Hosseini,4.45,1655406,372.0,"Fiction, Historical Fiction, Book Club",2007.0,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,14.319557458009728,5.921578419643816,2.9444389791664403,Fiction  Historical Fiction  Book Club
The Love Hypothesis,Ali Hazelwood,4.12,1632938,356.0,"Contemporary, Fiction, Fake Dating",2021.0,https://www.goodreads.com/book/show/56732449-the-love-hypothesis,14.305892016692747,5.877735781779639,1.6094379124341003,Contemporary  Fiction  Fake Dating
The Shining,Stephen King,4.28,1628341,497.0,"Horror, Fiction, Thriller",1977.0,https://www.goodreads.com/book/show/11588.The_Shining,14.303072877192305,6.210600077024653,3.8918202981106265,Horror  Fiction  Thriller
The Maze Runner,James Dashner,4.05,1620910,384.0,"Young Adult, Dystopia, Science Fiction",2009.0,https://www.goodreads.com/book/show/6186357-the-maze-runner,14.2984988948305,5.953243334287785,2.833213344056216,Young Adult  Dystopia  Science Fiction
The Golden Compass,Philip Pullman,4.03,1584258,399.0,"Fantasy, Young Adult, Fiction",1995.0,https://www.goodreads.com/book/show/119322.The_Golden_Compass,14.275627348091199,5.991464547107982,3.4339872044851463,Fantasy  Young Adult  Fiction
Insurgent,Veronica Roth,3.97,1581550,525.0,"Young Adult, Dystopia, Fantasy",2012.0,https://www.goodreads.com/book/show/11735983-insurgent,14.273916569073839,6.26530121273771,2.6390573296152584,Young Adult  Dystopia  Fantasy
The Cruel Prince,Holly Black,4.02,1563988,370.0,"Fantasy, Young Adult, Romance",2018.0,https://www.goodreads.com/book/show/26032825-the-cruel-prince,14.262750166814579,5.916202062607435,2.0794415416798357,Fantasy  Young Adult  Romance
A Good Girl's Guide to Murder,Holly Jackson,4.3,1556516,433.0,"Mystery, Young Adult, Thriller",2019.0,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder,14.257961190744407,6.073044534100405,1.9459101490553132,Mystery  Young Adult  Thriller
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1552996,226.0,"Fiction, Mystery, Young Adult",2003.0,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,14.255697170383948,5.424950017481403,3.1354942159291497,Fiction  Mystery  Young Adult
Dune,Frank Herbert,4.28,1542580,658.0,"Science Fiction, Fiction, Fantasy",1965.0,https://www.goodreads.com/book/show/44767458-dune,14.248967545538557,6.490723534502507,4.110873864173311,Science Fiction  Fiction  Fantasy
And Then There Were None,Agatha Christie,4.28,1513484,264.0,"Mystery, Fiction, Thriller",1939.0,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,14.229925496592022,5.579729825986222,4.465908118654584,Mystery  Fiction  Thriller
The Outsiders,S.E. Hinton,4.14,1504700,208.0,"Classics, Young Adult, Fiction",1967.0,https://www.goodreads.com/book/show/231804.The_Outsiders,14.22410476533105,5.342334251964811,4.07753744390572,Classics  Young Adult  Fiction
Crown of Midnight,Sarah J. Maas,4.36,1502848,420.0,"Fantasy, Young Adult, Romance",2013.0,https://www.goodreads.com/book/show/17167166-crown-of-midnight,14.222873197952895,6.042632833682381,2.5649493574615367,Fantasy  Young Adult  Romance
Where the Sidewalk Ends,Shel Silverstein,4.34,1470590,176.0,"Poetry, Childrens, Classics",1974.0,https://www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends,14.201174918774491,5.176149732573829,3.9512437185814275,Poetry  Childrens  Classics
Reminders of Him,Colleen Hoover,4.35,1460655,335.0,"Fiction, Contemporary, Contemporary Romance",2022.0,https://www.goodreads.com/book/show/58341222-reminders-of-him,14.194396207841223,5.817111159963204,1.3862943611198906,Fiction  Contemporary  Contemporary Romance
Paper Towns,John Green,3.7,1451846,305.0,"Young Adult, Fiction, Contemporary",2008.0,https://www.goodreads.com/book/show/6442769-paper-towns,14.188347096914043,5.723585101952381,2.8903717578961645,Young Adult  Fiction  Contemporary
Beach Read,Emily Henry,3.99,1444548,371.0,"Fiction, Contemporary, Audiobook",2020.0,https://www.goodreads.com/book/show/52867387-beach-read,14.183307720085336,5.918893854273146,1.791759469228055,Fiction  Contemporary  Audiobook
Ender’s Game,Orson Scott Card,4.31,1438097,324.0,"Science Fiction, Fiction, Young Adult",1985.0,https://www.goodreads.com/book/show/375802.Ender_s_Game,14.178831965149632,5.783825182329737,3.713572066704308,Science Fiction  Fiction  Young Adult
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1435925,275.0,"Classics, Fiction, Science Fiction",1969.0,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,14.17732049522906,5.62040086571715,4.04305126783455,Classics  Fiction  Science Fiction
People We Meet on Vacation,Emily Henry,3.85,1422414,400.0,"Fiction, Contemporary, Friends To Lovers",2021.0,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation,14.16786668924298,5.993961427306569,1.6094379124341003,Fiction  Contemporary  Friends To Lovers
Twisted Love,Ana Huang,3.72,1395095,360.0,"Romance, Dark Romance, Contemporary",2021.0,https://www.goodreads.com/book/show/55817097-twisted-love,14.148473788074108,5.8888779583328805,1.6094379124341003,Romance  Dark Romance  Contemporary
Dracula,Bram Stoker,4.02,1393608,488.0,"Classics, Horror, Fiction",1897.0,https://www.goodreads.com/book/show/17245.Dracula,14.147407343153667,6.192362489474872,4.859812404361672,Classics  Horror  Fiction
Book Lovers,Emily Henry,4.11,1386515,377.0,"Romance, Fiction, Contemporary",2022.0,https://www.goodreads.com/book/show/58690308-book-lovers,14.142304683819926,5.934894195619588,1.3862943611198906,Romance  Fiction  Contemporary
Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.23,1348027,336.0,"Fiction, Book Club, Contemporary",2017.0,https://www.goodreads.com/book/show/31434883-eleanor-oliphant-is-completely-fine,14.114153341752017,5.820082930352362,2.1972245773362196,Fiction  Book Club  Contemporary
The Invisible Life of Addie LaRue,Victoria E. Schwab,4.17,1337037,448.0,"Fantasy, Fiction, Romance",2020.0,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,14.105967277520127,6.1070228877422545,1.791759469228055,Fantasy  Fiction  Romance
